,top query,top query value,related query,related query value
0,descargar,100,bad bunny 2022,262050
1,descargar bad bunny,100,crocs,98100
2,letra bad bunny,95,bad bunny crocs,97250
3,bad bunny lyrics,52,crocs bad bunny,96400
4,musica bad bunny,41,bad bunny 2020,82600
5,musica,41,amorfoda bad bunny,72700
6,bad bunny 2022,40,yonaguni,65800
7,bad bunny concierto,35,bad bunny yonaguni,65250
8,bad bunny concert,33,te bote bad bunny,60250
9,musica de bad bunny,32,callaita bad bunny,53450
10,ozuna,31,bad bunny callaita,53400
11,anuel,30,bad bunny chambea,51550
12,bad bunny canciones,29,rosalia,47500
13,bad bunny tickets,24,un verano sin ti,44650
14,bad bunny mp3,24,bad bunny yo perreo sola,35150
15,descargar musica bad bunny,24,yo perreo sola,34450
16,bad bunny tour,24,bad bunny safaera,31500
17,j balvin,23,estamos bien bad bunny,31200
18,descargar musica,23,bad bunny ojitos lindos,29500
19,adidas bad bunny,22,bad bunny gabriela berlingeri,29150
20,bad bunny youtube,20,yhlqmdlg,28800
21,bad bunny album,20,moscow mule bad bunny,27950
22,album bad bunny,20,amorfoda,27400
23,canciones de bad bunny,19,rauw alejandro,26850
24,descargar musica de bad bunny,19,bad bunny me porto bonito,25250
