end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,2639
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,4254
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,4637
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,3256
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,8114
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,22309
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,27558
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,8148
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,4271
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,2471
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,2005
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,5895
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,4117
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,7119
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,4777
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,2520
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,2344
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,2324
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,2912
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,5694
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,5782
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3641
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,5607
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,3860
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,3510
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,2562
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3596
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,3789
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,3226
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,2740
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,4227
